region
4
10
9
6
9
8
1
3
3
4
4
9
10
5
5
7
7
4
6
1
3
1
5
5
4
7
8
7
9
1
2
6
2
4
8
5
6
10
3
1
4
8
4
6
8
1
3
10
3
5
8
